User_Id,Age,Gender,City,Account_age_Months,Subscription_Type,Payment_Method,Monthly_Subscription_Fee,Plan_Duration,Auto_Renewal,Daily_Listening_Minutes,Songs_Playes_Per_Day,Weekly_Apps_Opens,Playlists_Created,Podcasts_Listened,Skip_Rate,Offline_Downloads,Last_Login_Days_Ago,Device_Type,App_Rating,Customer_Support_Tickets,Ads_Clicked,Recommendation_Usage,Lifetime_Revenue,Avg_Monthly_Spend,Churn
34,21,Female,Chennai,18,Cancelled,Credit/Debit Card,12,Quarterly,No,293,14,8,9,5,7,41,8,Mobile,4,3,6,Yes,446,15,No
35,56,Male,Pune,44,Active,UPI,13,Monthly,Yes,25,66,26,7,6,9,23,17,Mobile,3,4,1,No,344,9,Yes
36,37,Male,Hyderabad,16,Active,UPI,15,Monthly,Yes,210,61,23,10,6,54,26,5,Mobile,5,0,8,Yes,150,7,Yes
37,46,Male,Chennai,25,Active,Credit/Debit Card,6,Monthly,No,165,20,6,5,6,34,21,5,Mobile,4,0,2,Yes,356,11,Yes
38,44,Female,Chennai,10,Cancelled,UPI,14,Monthly,No,225,78,10,13,0,23,33,19,Mobile,5,5,1,No,300,15,Yes
39,19,Male,Kolkata,33,Active,UPI,13,Quarterly,No,67,12,21,12,1,48,15,12,Desktop,2,1,4,No,102,12,No
40,54,Male,Bangalore,51,Active,UPI,1,Monthly,Yes,267,28,31,3,6,57,24,18,Desktop,4,1,5,Yes,300,1,Yes
41,21,Male,Bangalore,2,Active,Credit/Debit Card,10,Monthly,No,98,10,21,19,1,46,1,14,Desktop,1,5,3,No,219,6,No
42,25,Male,Bangalore,59,Cancelled,UPI,8,Yearly,No,280,27,26,20,7,6,5,18,Tablet,2,3,5,No,127,7,No
43,25,Male,Chennai,60,Active,Credit/Debit Card,15,Yearly,Yes,39,45,22,14,1,48,7,12,Mobile,4,0,9,Yes,137,6,Yes
44,50,Male,Kolkata,54,Active,UPI,10,Monthly,No,172,62,6,13,9,14,37,14,Mobile,2,5,0,Yes,288,9,No
45,19,Female,Hyderabad,7,Active,UPI,13,Quarterly,Yes,25,66,19,2,1,55,28,25,Mobile,4,2,2,Yes,334,5,No
46,58,Male,Pune,8,Active,Credit/Debit Card,0,Yearly,Yes,200,46,23,13,9,26,31,4,Mobile,1,0,11,Yes,293,10,Yes
47,50,Male,Mumbai,26,Active,UPI,14,Monthly,Yes,282,51,20,15,4,36,33,2,Mobile,5,2,10,No,500,1,Yes
48,40,Male,Hyderabad,18,Active,UPI,10,Monthly,Yes,256,34,1,10,4,38,11,8,Mobile,1,4,9,No,459,10,No
49,58,Female,Bangalore,18,Active,UPI,11,Monthly,Yes,226,40,19,20,0,42,36,2,Mobile,1,5,6,No,421,12,No
50,26,Female,Chennai,55,Active,Net Banking,0,Monthly,No,113,23,14,11,1,54,30,3,Mobile,5,2,0,Yes,81,6,Yes
51,52,Male,Pune,17,Active,UPI,14,Quarterly,Yes,116,5,6,6,10,6,11,12,Mobile,2,4,7,No,345,10,Yes
52,22,Female,Hyderabad,17,Active,UPI,11,Quarterly,No,26,27,32,0,10,5,19,1,Mobile,3,5,0,Yes,414,2,No
53,27,Male,Pune,31,Cancelled,Net Banking,15,Monthly,No,186,32,3,18,9,20,32,9,Mobile,5,5,12,Yes,177,8,No
54,19,Female,Bangalore,18,Active,Net Banking,14,Monthly,Yes,145,76,40,1,6,46,44,14,Mobile,3,5,9,Yes,338,3,Yes
55,20,Male,Kolkata,15,Active,UPI,1,Monthly,No,137,25,7,18,6,54,45,10,Mobile,5,2,14,No,285,1,No
56,59,Female,Bangalore,31,Active,UPI,2,Quarterly,Yes,180,67,9,19,5,58,47,3,Desktop,2,4,1,Yes,478,13,Yes
57,57,Male,Ahmedabad,10,Cancelled,Credit/Debit Card,0,Monthly,No,9,20,20,17,6,31,28,13,Mobile,4,2,15,No,74,4,No
58,57,Female,Pune,42,Active,Credit/Debit Card,2,Yearly,No,182,51,29,18,3,30,35,19,Mobile,1,4,15,No,310,8,Yes
59,52,Male,Mumbai,21,Active,Net Banking,7,Yearly,No,21,57,13,15,7,52,35,2,Mobile,3,0,3,No,271,9,No
60,52,Male,Ahmedabad,49,Active,UPI,4,Monthly,No,100,8,39,7,2,45,24,30,Desktop,1,1,3,Yes,27,6,Yes
61,50,Male,Mumbai,21,Active,UPI,14,Monthly,Yes,54,13,13,8,10,38,44,9,Mobile,3,4,10,No,429,2,No
62,39,Female,Bangalore,1,Active,UPI,4,Monthly,Yes,244,30,36,8,3,41,1,17,Desktop,3,1,0,Yes,12,0,No
63,32,Female,Pune,7,Cancelled,Net Banking,13,Monthly,Yes,173,65,3,9,8,8,16,18,Mobile,4,5,11,No,150,12,Yes
64,53,Female,Ahmedabad,12,Active,Net Banking,13,Monthly,Yes,120,64,13,18,10,43,20,2,Mobile,2,3,5,No,170,4,Yes
65,47,Male,Bangalore,18,Active,UPI,13,Monthly,No,214,8,21,10,0,14,33,7,Desktop,3,1,11,Yes,240,11,Yes
66,42,Male,Chennai,45,Active,UPI,10,Monthly,No,41,8,11,19,4,52,25,12,Mobile,2,4,8,Yes,378,1,Yes
67,57,Female,Chennai,27,Active,Net Banking,15,Quarterly,Yes,22,35,13,5,1,45,41,0,Mobile,5,5,12,Yes,279,15,Yes
68,49,Female,Kolkata,31,Active,Credit/Debit Card,0,Monthly,No,59,48,11,2,6,24,32,19,Mobile,4,5,0,Yes,295,4,No
69,36,Female,Chennai,50,Active,UPI,10,Monthly,No,239,61,13,6,4,39,34,5,Desktop,5,5,11,Yes,444,0,No
70,30,Female,Mumbai,36,Active,Credit/Debit Card,8,Monthly,No,128,53,2,17,9,32,15,21,Mobile,4,1,12,No,421,5,Yes
71,24,Male,Pune,35,Active,UPI,7,Monthly,No,185,31,29,13,9,17,27,4,Mobile,5,2,12,No,218,15,No
72,26,Male,Mumbai,3,Active,UPI,14,Quarterly,Yes,121,72,37,9,3,50,40,4,Tablet,3,0,10,No,270,1,No
73,18,Female,Hyderabad,43,Active,UPI,10,Monthly,No,88,60,36,18,6,49,32,24,Desktop,4,1,13,No,365,14,Yes
74,50,Female,Chennai,14,Cancelled,Credit/Debit Card,12,Monthly,Yes,259,31,35,17,10,57,13,14,Mobile,1,1,5,Yes,226,8,No
75,47,Male,Ahmedabad,25,Active,UPI,0,Monthly,Yes,11,54,34,6,10,59,47,10,Desktop,3,0,1,No,44,9,Yes
76,40,Female,Ahmedabad,35,Active,UPI,7,Monthly,Yes,241,19,34,2,8,44,45,15,Desktop,5,3,8,Yes,61,9,Yes
77,19,Female,Hyderabad,43,Cancelled,UPI,0,Monthly,Yes,105,53,7,6,7,24,5,28,Mobile,3,3,11,Yes,206,9,Yes
78,28,Female,Ahmedabad,30,Active,Net Banking,6,Quarterly,Yes,81,14,14,20,4,40,9,7,Mobile,5,4,3,No,428,3,No
79,57,Female,Bangalore,39,Active,Net Banking,11,Quarterly,Yes,142,22,12,5,5,12,38,25,Mobile,1,0,0,Yes,76,8,Yes
80,33,Male,Mumbai,60,Cancelled,Net Banking,15,Yearly,No,35,56,9,10,0,7,21,13,Desktop,2,4,10,Yes,345,12,No
81,33,Male,Pune,29,Cancelled,UPI,12,Yearly,No,264,59,24,5,3,34,4,22,Desktop,1,1,4,No,124,9,Yes
82,25,Female,Mumbai,25,Active,UPI,15,Quarterly,No,198,21,11,8,3,53,46,25,Mobile,3,1,4,Yes,178,10,Yes
83,22,Male,Mumbai,45,Active,UPI,1,Monthly,No,25,71,5,0,9,17,29,30,Mobile,1,5,10,Yes,31,0,No
84,19,Male,Hyderabad,9,Active,UPI,10,Quarterly,Yes,164,49,36,13,5,31,38,29,Mobile,2,3,8,Yes,455,1,Yes
85,27,Female,Kolkata,46,Cancelled,Credit/Debit Card,9,Yearly,No,129,25,14,0,4,42,17,26,Tablet,2,2,12,No,320,5,Yes
86,21,Male,Mumbai,37,Active,UPI,2,Yearly,No,46,24,5,15,4,31,37,16,Desktop,3,5,9,Yes,280,1,No
87,57,Male,Mumbai,4,Active,UPI,0,Quarterly,No,134,47,13,13,5,31,6,25,Desktop,1,0,3,Yes,452,9,Yes
88,45,Female,Mumbai,49,Active,Credit/Debit Card,0,Yearly,Yes,167,9,38,15,5,23,43,6,Mobile,2,1,2,No,183,2,No
89,48,Male,Mumbai,25,Active,Credit/Debit Card,7,Monthly,Yes,152,76,40,4,7,33,7,15,Mobile,2,4,8,No,19,0,Yes
90,25,Male,Pune,39,Active,Credit/Debit Card,11,Monthly,No,109,48,3,14,4,34,29,13,Mobile,2,0,3,Yes,227,3,Yes
91,28,Male,Kolkata,10,Cancelled,UPI,2,Quarterly,No,142,31,23,15,7,42,4,25,Desktop,4,3,13,No,84,10,Yes
92,51,Female,Chennai,28,Cancelled,UPI,7,Quarterly,No,216,29,19,8,8,6,32,9,Mobile,5,1,11,Yes,451,0,No
93,24,Male,Mumbai,34,Active,UPI,4,Yearly,Yes,108,66,11,6,2,60,0,23,Mobile,2,3,1,Yes,262,13,Yes
94,45,Male,Bangalore,45,Active,UPI,5,Monthly,No,233,19,6,7,7,28,50,14,Desktop,2,1,3,Yes,59,6,Yes
95,44,Female,Bangalore,57,Active,UPI,11,Monthly,Yes,124,37,8,13,10,13,23,24,Mobile,3,0,9,No,307,6,Yes
96,33,Female,Mumbai,43,Active,UPI,9,Monthly,Yes,71,26,20,8,7,53,43,7,Mobile,5,4,13,No,86,7,Yes
97,30,Male,Chennai,45,Cancelled,Credit/Debit Card,12,Yearly,No,136,59,13,19,0,5,25,9,Mobile,4,2,1,No,198,12,Yes
98,50,Male,Kolkata,18,Cancelled,Credit/Debit Card,8,Monthly,Yes,93,20,25,3,5,15,21,1,Mobile,5,3,1,Yes,37,1,Yes
99,60,Female,Bangalore,24,Active,Net Banking,3,Yearly,No,64,80,18,1,1,50,24,6,Mobile,1,3,12,No,276,14,Yes
100,49,Female,Hyderabad,57,Active,Credit/Debit Card,1,Monthly,No,86,24,23,15,10,44,42,23,Mobile,4,1,7,No,167,0,Yes
101,57,Male,Hyderabad,19,Active,UPI,10,Quarterly,Yes,83,77,29,3,6,35,48,22,Mobile,5,3,10,Yes,84,1,No
102,33,Male,Pune,19,Active,UPI,2,Yearly,No,68,38,20,1,2,42,19,1,Desktop,3,5,9,No,138,12,Yes
103,39,Female,Pune,28,Active,UPI,6,Yearly,Yes,143,26,2,16,9,23,35,5,Mobile,4,5,15,No,57,0,No
104,32,Female,Mumbai,36,Active,UPI,8,Monthly,Yes,136,21,23,19,1,10,0,19,Mobile,1,5,12,Yes,139,6,Yes
105,33,Female,Chennai,38,Active,UPI,5,Monthly,No,196,21,3,9,10,41,16,15,Tablet,1,3,2,No,274,7,No
106,24,Female,Kolkata,4,Active,UPI,8,Monthly,Yes,195,75,23,7,10,31,30,6,Tablet,1,4,6,No,372,10,No
107,39,Male,Hyderabad,27,Cancelled,Credit/Debit Card,3,Monthly,Yes,149,59,19,20,0,32,36,24,Mobile,1,3,8,Yes,471,6,Yes
108,48,Male,Ahmedabad,38,Cancelled,Credit/Debit Card,7,Monthly,Yes,34,50,14,20,6,40,25,24,Desktop,2,5,3,No,103,5,No
109,29,Female,Kolkata,49,Active,UPI,5,Monthly,No,61,80,12,13,3,15,29,1,Tablet,3,3,2,Yes,374,3,Yes
110,40,Male,Chennai,57,Cancelled,UPI,10,Monthly,Yes,162,46,28,7,5,27,30,25,Mobile,4,3,7,No,469,14,Yes
111,45,Male,Bangalore,59,Active,UPI,3,Monthly,No,198,21,18,18,8,48,46,10,Tablet,5,5,11,Yes,445,15,No
112,47,Male,Bangalore,45,Active,UPI,6,Quarterly,Yes,26,62,24,2,2,6,40,7,Mobile,5,5,5,No,223,5,No
113,28,Male,Hyderabad,11,Active,UPI,11,Quarterly,No,166,38,2,14,5,30,5,13,Mobile,1,0,3,No,94,15,Yes
114,25,Male,Bangalore,6,Active,Net Banking,4,Monthly,Yes,27,41,25,2,3,27,14,6,Desktop,4,5,0,No,441,2,Yes
115,26,Female,Chennai,45,Active,Net Banking,1,Quarterly,No,139,74,14,1,1,6,22,13,Tablet,2,0,4,Yes,222,2,No
116,35,Female,Hyderabad,36,Active,Credit/Debit Card,7,Monthly,No,45,28,5,13,6,18,11,13,Desktop,5,2,1,No,287,15,No
117,43,Male,Hyderabad,3,Cancelled,Credit/Debit Card,7,Monthly,No,7,17,8,16,7,19,36,30,Desktop,3,4,12,Yes,225,14,No
118,24,Female,Mumbai,29,Active,Net Banking,13,Yearly,No,215,72,33,17,4,41,35,5,Desktop,5,2,1,No,472,3,No
119,55,Male,Hyderabad,37,Active,UPI,11,Monthly,Yes,149,68,21,12,8,9,33,8,Mobile,5,2,8,Yes,238,9,No
120,46,Female,Pune,43,Cancelled,Net Banking,0,Monthly,Yes,105,49,14,19,1,5,46,9,Mobile,4,2,9,No,320,0,Yes
121,26,Male,Chennai,36,Active,UPI,6,Monthly,Yes,138,33,18,7,7,59,4,20,Mobile,5,1,4,Yes,496,7,Yes
122,60,Female,Pune,34,Active,UPI,7,Yearly,No,159,30,15,4,10,20,3,9,Mobile,4,2,6,No,105,12,No
123,24,Male,Hyderabad,46,Active,UPI,13,Monthly,No,155,40,20,20,1,7,5,8,Desktop,2,1,10,No,335,11,Yes
124,41,Male,Ahmedabad,31,Active,UPI,9,Quarterly,Yes,216,15,10,4,8,36,41,20,Mobile,2,4,14,No,397,1,Yes
125,59,Female,Mumbai,7,Cancelled,Credit/Debit Card,11,Monthly,No,112,68,28,16,9,59,28,10,Mobile,5,1,2,No,353,15,Yes
126,28,Female,Mumbai,40,Active,Net Banking,8,Monthly,Yes,83,64,37,10,2,40,12,6,Desktop,2,4,14,No,478,1,No
127,48,Female,Chennai,49,Active,Credit/Debit Card,0,Monthly,No,101,33,16,6,0,15,29,9,Mobile,5,3,4,No,199,1,Yes
128,54,Male,Mumbai,5,Active,Credit/Debit Card,11,Yearly,Yes,232,38,24,0,0,16,29,15,Mobile,3,0,15,No,374,9,No
129,29,Female,Pune,32,Active,UPI,14,Yearly,Yes,136,11,31,1,6,7,44,2,Desktop,5,0,2,Yes,320,6,Yes
130,41,Female,Pune,8,Active,Credit/Debit Card,11,Monthly,No,151,28,14,11,0,26,44,19,Mobile,3,3,14,No,62,8,Yes
131,54,Female,Ahmedabad,47,Cancelled,UPI,9,Monthly,Yes,222,78,7,16,4,45,27,4,Desktop,1,5,7,No,20,11,Yes
132,42,Female,Chennai,3,Cancelled,Net Banking,6,Monthly,Yes,10,12,23,14,2,50,19,1,Desktop,1,0,14,Yes,441,13,Yes
133,55,Female,Kolkata,12,Active,UPI,4,Quarterly,Yes,163,67,10,10,6,59,12,6,Mobile,5,1,15,No,304,9,No
134,55,Male,Pune,44,Active,UPI,14,Monthly,Yes,199,17,40,20,1,32,24,3,Mobile,1,3,12,Yes,65,15,Yes
135,48,Male,Bangalore,20,Cancelled,UPI,8,Monthly,Yes,294,36,23,3,8,52,34,12,Mobile,4,0,8,No,358,5,Yes
136,22,Female,Bangalore,50,Active,Credit/Debit Card,1,Quarterly,No,95,56,37,4,7,60,17,29,Tablet,1,3,10,No,332,4,Yes
137,42,Female,Kolkata,27,Cancelled,Credit/Debit Card,14,Monthly,Yes,26,51,14,9,7,30,38,9,Tablet,1,0,2,Yes,445,13,Yes
138,48,Male,Bangalore,11,Active,UPI,13,Monthly,No,124,60,21,11,2,41,40,17,Mobile,2,1,14,Yes,315,5,No
139,42,Male,Hyderabad,47,Active,UPI,2,Monthly,No,249,79,30,6,7,48,37,18,Mobile,3,4,15,No,453,6,No
140,27,Female,Mumbai,47,Active,Credit/Debit Card,13,Monthly,Yes,232,7,30,17,0,28,34,23,Mobile,4,0,11,No,450,11,No
141,60,Male,Mumbai,49,Cancelled,UPI,8,Quarterly,No,31,22,14,11,7,12,16,16,Mobile,2,3,5,Yes,130,11,Yes
142,53,Male,Chennai,29,Active,UPI,12,Quarterly,No,79,71,29,10,9,47,14,21,Mobile,2,1,12,Yes,191,9,Yes
143,57,Male,Bangalore,54,Active,Net Banking,10,Monthly,No,260,12,22,3,0,8,32,4,Mobile,2,2,7,Yes,39,13,Yes
144,43,Female,Ahmedabad,50,Active,UPI,15,Monthly,Yes,42,39,7,8,5,48,19,28,Desktop,2,0,6,No,109,3,Yes
145,21,Female,Chennai,49,Active,UPI,9,Quarterly,No,63,54,3,11,3,29,39,25,Tablet,2,2,15,No,378,15,Yes
146,19,Female,Bangalore,31,Active,UPI,1,Quarterly,Yes,296,67,32,19,5,49,41,20,Mobile,5,5,12,Yes,85,11,Yes
147,24,Male,Mumbai,18,Cancelled,UPI,5,Yearly,Yes,233,80,24,10,9,48,21,10,Tablet,3,2,0,No,193,3,Yes
148,50,Female,Ahmedabad,59,Cancelled,UPI,15,Yearly,Yes,264,10,9,3,6,56,12,17,Tablet,5,2,13,No,282,3,Yes
149,57,Female,Kolkata,50,Active,UPI,9,Quarterly,No,51,54,22,16,5,18,27,17,Tablet,2,4,10,Yes,223,7,No
150,44,Female,Pune,22,Active,Credit/Debit Card,5,Monthly,No,108,41,5,18,1,30,10,6,Mobile,2,5,4,Yes,65,1,No
151,52,Male,Mumbai,22,Active,UPI,5,Quarterly,No,53,11,10,6,7,20,24,6,Mobile,1,4,9,No,233,12,No
152,26,Male,Pune,50,Active,UPI,5,Yearly,No,162,31,20,14,5,60,24,8,Mobile,4,2,1,No,330,5,Yes
153,41,Male,Ahmedabad,31,Cancelled,Net Banking,15,Monthly,No,86,23,21,9,1,26,9,16,Mobile,2,2,9,No,446,10,No
154,35,Male,Bangalore,33,Active,Credit/Debit Card,12,Monthly,Yes,79,11,3,10,3,32,41,5,Mobile,4,3,4,Yes,434,1,Yes
155,29,Male,Mumbai,30,Cancelled,Net Banking,6,Quarterly,No,8,59,4,1,3,32,45,15,Mobile,1,0,3,No,144,7,Yes
156,57,Female,Chennai,15,Active,Credit/Debit Card,12,Monthly,Yes,259,28,33,13,5,51,28,16,Mobile,4,4,4,Yes,191,10,No
157,43,Female,Chennai,12,Cancelled,UPI,11,Yearly,Yes,131,37,37,11,0,31,5,20,Mobile,1,1,3,No,159,9,No
158,31,Male,Mumbai,18,Active,UPI,5,Quarterly,Yes,253,18,21,9,0,54,3,16,Mobile,1,2,14,No,459,12,Yes
159,23,Female,Mumbai,16,Cancelled,Net Banking,2,Monthly,No,150,62,28,13,1,41,29,9,Mobile,1,4,12,No,392,8,Yes
160,36,Female,Mumbai,58,Active,UPI,10,Quarterly,Yes,27,9,34,9,3,8,23,28,Mobile,1,1,0,Yes,134,14,Yes
161,39,Male,Bangalore,58,Active,Net Banking,2,Quarterly,No,110,61,27,5,3,60,9,27,Mobile,2,3,9,No,472,1,Yes
162,33,Female,Bangalore,19,Active,Credit/Debit Card,1,Monthly,Yes,173,46,38,14,8,49,37,22,Mobile,5,4,8,No,36,0,Yes
163,34,Female,Kolkata,55,Cancelled,UPI,2,Yearly,No,46,51,4,6,5,52,46,5,Desktop,5,4,6,Yes,180,11,Yes
164,23,Male,Ahmedabad,42,Cancelled,UPI,1,Yearly,No,119,11,18,12,1,40,37,5,Desktop,5,2,15,Yes,51,7,No
165,51,Male,Pune,38,Active,UPI,0,Monthly,Yes,176,28,27,16,8,22,40,18,Mobile,1,3,4,No,346,2,Yes
166,55,Female,Mumbai,29,Cancelled,UPI,6,Quarterly,No,69,20,5,6,8,24,19,18,Mobile,4,3,12,Yes,381,10,Yes
167,45,Female,Kolkata,19,Active,UPI,5,Monthly,Yes,296,71,23,16,7,43,22,28,Mobile,3,1,15,No,440,6,Yes
168,24,Male,Chennai,38,Active,UPI,12,Yearly,Yes,116,73,21,18,10,52,46,10,Mobile,5,1,13,No,270,2,No
169,42,Female,Mumbai,3,Cancelled,Credit/Debit Card,10,Monthly,Yes,128,39,26,2,6,10,41,17,Desktop,4,3,3,No,402,9,Yes
170,44,Female,Hyderabad,26,Active,UPI,7,Monthly,Yes,183,48,4,8,2,55,16,11,Mobile,2,5,12,Yes,17,1,No
171,25,Male,Bangalore,10,Active,Credit/Debit Card,9,Monthly,No,204,25,4,2,8,11,10,1,Mobile,1,1,8,No,448,9,Yes
172,35,Male,Hyderabad,47,Active,UPI,6,Quarterly,Yes,151,48,36,16,4,9,6,3,Mobile,4,0,11,Yes,310,9,No
173,33,Male,Ahmedabad,59,Active,Credit/Debit Card,8,Monthly,Yes,184,49,32,15,2,36,24,10,Mobile,4,0,7,Yes,205,2,Yes
174,20,Male,Mumbai,9,Cancelled,UPI,11,Monthly,Yes,150,31,33,2,4,12,30,24,Mobile,5,3,11,No,32,9,No
175,31,Female,Mumbai,48,Cancelled,UPI,5,Quarterly,No,15,58,4,0,9,22,37,0,Desktop,1,5,5,Yes,121,4,Yes
176,56,Female,Mumbai,19,Active,Credit/Debit Card,5,Yearly,No,164,41,19,12,8,25,9,2,Tablet,2,1,1,No,42,8,Yes
177,45,Male,Chennai,13,Cancelled,Credit/Debit Card,2,Monthly,No,228,41,22,7,7,51,50,5,Mobile,5,2,2,No,229,4,Yes
178,57,Female,Kolkata,49,Active,Credit/Debit Card,4,Quarterly,Yes,154,52,31,9,5,14,48,17,Mobile,4,1,2,Yes,131,13,Yes
179,39,Male,Pune,20,Active,UPI,0,Monthly,No,182,46,1,6,7,30,29,4,Mobile,1,5,11,Yes,425,13,Yes
180,49,Female,Mumbai,57,Active,UPI,14,Quarterly,Yes,265,42,1,2,2,41,7,11,Mobile,1,4,2,No,107,13,No
181,34,Female,Mumbai,18,Active,UPI,13,Monthly,Yes,299,56,30,12,3,40,36,10,Mobile,1,3,1,No,374,8,Yes
182,60,Female,Hyderabad,40,Cancelled,UPI,8,Monthly,Yes,159,36,4,2,9,5,49,15,Mobile,1,2,10,No,306,0,Yes
183,60,Male,Bangalore,6,Active,Credit/Debit Card,6,Monthly,Yes,35,44,5,0,0,53,19,30,Mobile,5,1,9,No,415,7,No
184,41,Male,Ahmedabad,25,Active,Credit/Debit Card,9,Monthly,Yes,18,55,5,18,0,13,2,27,Desktop,5,3,12,No,119,13,No
185,19,Female,Bangalore,27,Active,UPI,3,Monthly,No,74,28,40,15,8,59,31,8,Desktop,4,4,14,Yes,104,5,Yes
186,20,Male,Mumbai,15,Active,UPI,9,Yearly,Yes,7,35,14,5,10,16,1,9,Desktop,1,4,14,Yes,122,11,No
187,23,Female,Bangalore,37,Active,Credit/Debit Card,5,Monthly,Yes,286,40,35,19,7,55,48,14,Desktop,2,3,3,Yes,95,3,No
